SK_LISTING,SK_HOST,NM_BAIRRO,NR_LATITUDE,NR_LONGITUDE,DS_TIPO_QUARTO,VLR_DIARIA_BRL,QTD_MIN_NOITES,QTD_TOTAL_AVALIACOES,QTD_DIAS_DISPONIVEIS,CAT_VIBE_IA,CAT_TIPO_VISTA,TXT_DESTAQUE_IA,TXT_CARACTERISTICA_IA
17878,68997,Copacabana,-22.96599,-43.1794,Casa/Apto inteiro,356.0,5,341,235,Moderno,Urbana,Varanda e WiFi,Conforto
48305,70933,Ipanema,-22.98591,-43.20302,Casa/Apto inteiro,2343.0,7,183,301,Luxo,Mar,Ampla cobertura praia,Penthouse
51703,238091,Copacabana,-22.981731,-43.190571,Casa/Apto inteiro,250.0,1,325,282,Luxo,Mar,Vista mar privilegiada,Localização
86670,474221,Leblon,-22.9835398,-43.2160536,Casa/Apto inteiro,438.0,2,132,5,Luxo,Mar,Vista fantástica Leblon,Reformado
89981,488707,Ipanema,-22.98088,-43.20042,Quarto privativo,215.0,3,167,210,Econômico,Sem Vista,Quarto com banheiro,Praticidade
109747,554897,Ipanema,-22.98697,-43.19751,Casa/Apto inteiro,1094.0,2,250,268,Luxo,Mar,Piscina na cobertura,Frontal
132832,652627,Copacabana,-22.98282,-43.18935,Quarto privativo,1351.0,2,5,26,Econômico,Mar,Vista praia copa,Quarto
137002,635510,Leblon,-22.98251,-43.22108,Casa/Apto inteiro,871.0,2,40,115,Luxo,Urbana,Sofisticação e localização,refinamento
174101,259815,Copacabana,-22.98015,-43.19098,Casa/Apto inteiro,554.0,3,242,106,Luxo,Urbana,Terraço Privado Tranquilo,Penthouse
313223,792218,Ipanema,-22.98377,-43.20067,Casa/Apto inteiro,265.0,2,203,302,Padrão,Urbana,Localização privilegiada Ipanema,Localização
342874,829630,Leme,-22.96392,-43.17263,Casa/Apto inteiro,204.0,2,239,141,Econômico,Mar,Conforto na praia,Conforto
347820,235496,Copacabana,-22.98287,-43.18972,Casa/Apto inteiro,947.0,2,400,282,Luxo,Mar,Frente para mar,Localização
355197,524101,Centro,-22.90941,-43.1935,Casa/Apto inteiro,139.0,2,26,126,Econômico,Urbana,Localização central prática,Studio
368146,1858602,Ipanema,-22.98657,-43.19549,Casa/Apto inteiro,360.0,3,345,103,Luxo,Urbana,Localização privilegiada Ipanema,Apartamento
371950,1858602,Ipanema,-22.98485,-43.1972,Casa/Apto inteiro,452.0,3,484,96,Luxo,Urbana,Localização privilegiada Ipanema,Apartamento
400326,1998370,Copacabana,-22.96714,-43.18372,Casa/Apto inteiro,282.0,1,158,136,Moderno,Urbana,Conforto e estilo,Apartamento
466477,4307081,Copacabana,-22.98495,-43.1926,Quarto privativo,376.0,3,18,351,Luxo,Mar,Vista deslumbrante praia,Exclusividade
484267,2385085,Copacabana,-22.9857,-43.19045,Casa/Apto inteiro,723.0,2,266,61,Padrão,Urbana,Varanda localização privilegiada,Varanda
507900,2502969,Cosme Velho,-22.94433,-43.20504,Casa/Apto inteiro,170.0,3,104,279,Econômico,Natureza,Conforto em natureza,Suíte
519097,2554622,Ipanema,-22.985536575317383,-43.19681930541992,Quarto privativo,270.0,2,318,202,Luxo,Mar,Privacidade e localização,Exclusividade
178833,856145,Copacabana,-22.98026,-43.19109,Quarto privativo,270.0,3,145,292,Luxo,Urbana,Internet mais rápida,Penthouse
193317,937397,Ipanema,-22.98467,-43.19714,Quarto privativo,212.0,3,189,59,Padrão,Sem Vista,Próximo à praia,Localização
202778,529105,Copacabana,-22.96582,-43.17786,Casa/Apto inteiro,353.0,3,243,360,Econômico,Urbana,Melhor estúdio Copacabana,Studio
223073,503995,Ipanema,-22.9828,-43.20467,Casa/Apto inteiro,261.0,1,505,308,Moderno,Urbana,Localização em Ipanema,Loft
238802,235496,Copacabana,-22.96386,-43.17757,Casa/Apto inteiro,686.0,2,141,309,Familiar,Mar,Próximo à praia,Espaçoso
239531,792218,Copacabana,-22.96434,-43.17563,Casa/Apto inteiro,203.0,2,138,260,Romântico,Mar,Quarto com vista,Vista
248756,804664,Copacabana,-22.98029,-43.19054,Casa/Apto inteiro,665.0,3,176,69,Econômico,Mar,Próximo à praia,Localização
249323,1306210,Copacabana,-22.976,-43.18838,Casa/Apto inteiro,571.0,2,175,289,Luxo,Mar,Designer Beachfront Apt,Segurança
249842,1309444,Copacabana,-22.96794,-43.18969,Quarto privativo,146.0,2,226,135,Econômico,Urbana,Central e praia,Quarto
256323,1348172,Santa Teresa,-22.91742,-43.1833,Casa/Apto inteiro,200.0,3,264,255,Econômico,Natureza,Conforto e aconchego,Studio
272335,7506316,Copacabana,-22.9623,-43.17389,Casa/Apto inteiro,177.0,3,402,309,Padrão,Sem Vista,Localização em Copacabana,Apartamento
273463,319672,Lagoa,-22.97542,-43.19857,Casa/Apto inteiro,523.0,3,677,307,Familiar,Natureza,Vista para lagoa,Apartamento
525890,2286711,Glória,-22.92119,-43.17719,Casa/Apto inteiro,230.0,2,132,90,Padrão,Urbana,Próximo ao Metrô,Localização
555606,2704494,Botafogo,-22.9492,-43.18457,Casa/Apto inteiro,220.0,2,360,362,Moderno,Urbana,Próximo ao metrô,Localização
577253,2838933,Copacabana,-22.96626,-43.17985,Quarto privativo,341.0,2,149,345,Padrão,Urbana,Localização Excelente,Localização
588751,2903813,Ipanema,-22.98385,-43.20041,Casa/Apto inteiro,912.0,5,30,24,Familiar,Urbana,Conforto e espaço,Confortável
634422,474000,Centro,-22.91178,-43.17856,Casa/Apto inteiro,142.0,1,479,21,Padrão,Urbana,Vista Arcos Lapa,Silencioso
672835,3413077,Copacabana,-22.97344,-43.18813,Casa/Apto inteiro,363.0,1,413,27,Econômico,Mar,Localização à beira,Apartamento
844070,2422154,Joá,-23.01128,-43.29399,Casa/Apto inteiro,103.0,3,85,75,Econômico,Natureza,Localização tranquila exclusiva,Espaço
855137,894588,Copacabana,-22.969697952270508,-43.18413162231445,Casa/Apto inteiro,531.0,2,63,146,Econômico,Urbana,Próximo à praia,Localização
873890,4613553,Copacabana,-22.98252,-43.19156,Casa/Apto inteiro,1871.0,2,136,174,Luxo,Urbana,Espaçoso e sofisticado,Duplex
874722,4630101,Copacabana,-22.98188,-43.1947,Quarto privativo,139.0,3,345,58,Padrão,Urbana,Suíte confortável acessível,Conforto
886300,4698706,Urca,-22.95539,-43.16666,Casa/Apto inteiro,341.0,2,541,42,Luxo,Natureza,Perto Pão Açúcar,Localização
913581,674409,Copacabana,-22.98468,-43.18993,Quarto privativo,173.0,2,177,28,Econômico,Urbana,Localização em Copacabana,Quarto
915090,2479468,Copacabana,-22.986971,-43.191235,Casa/Apto inteiro,343.0,6,133,122,Padrão,Urbana,Localização entre bairros,Apartamento
925802,4981026,Praça da Bandeira,-22.91247,-43.21582,Quarto privativo,99.0,3,74,283,Padrão,Urbana,Localização central estratégica,Conveniência
675035,2448303,Botafogo,-22.94135,-43.1784,Casa/Apto inteiro,153.0,1,401,115,Econômico,Urbana,Aconchegante e agradável,Apartamento
716516,3665789,Gávea,-22.98253,-43.23719,Casa/Apto inteiro,1019.0,3,74,358,Familiar,Urbana,Seguro e espaçoso,Segurança
727379,3767558,Copacabana,-22.96554,-43.17929,Casa/Apto inteiro,208.0,2,485,143,Padrão,Urbana,Localização central privilegiada,Localização
749237,3937029,Ipanema,-22.98454,-43.20809,Casa/Apto inteiro,1000.0,3,61,315,Luxo,Mar,Próximo à praia,Localização
762988,3962758,Leme,-22.96222,-43.17022,Quarto privativo,169.0,2,239,330,Econômico,Urbana,Vista panorâmica privilegiada,Vista
770452,4064364,Ipanema,-22.98535,-43.20054,Casa/Apto inteiro,265.0,3,373,98,Luxo,Mar,Localização praia renovada,Renovado
772144,1921729,Copacabana,-22.98662,-43.18973,Casa/Apto inteiro,782.0,5,297,151,Romântico,Urbana,Localização perfeita,Charmoso
780813,4020659,Copacabana,-22.96527,-43.17621,Casa/Apto inteiro,194.0,2,71,264,Padrão,Sem Vista,Próximo à praia,Localização
825329,4331226,Copacabana,-22.96073,-43.1756,Casa/Apto inteiro,393.0,4,100,43,Econômico,Natureza,Vista para floresta,AptHotel
960461,5228078,Santa Teresa,-22.92379,-43.18276,Casa/Apto inteiro,207.0,2,351,317,Econômico,Sem Vista,Estacionamento reservado piscina,comodidade
996602,5475732,Copacabana,-22.97176551818848,-43.19038391113281,Casa/Apto inteiro,168.0,2,638,230,Econômico,Urbana,Proximidade com praia,Localização
1017703,5600818,Copacabana,-22.96687,-43.18474,Casa/Apto inteiro,425.0,3,207,286,Padrão,Mar,Próximo ao mar,Localização
1033727,5689207,Leblon,-22.98491,-43.22132,Casa/Apto inteiro,462.0,3,180,245,Econômico,Urbana,Localização em Ipiabas,Acessível
