SK_LISTING,SK_HOST,NM_BAIRRO,NR_LATITUDE,NR_LONGITUDE,DS_TIPO_QUARTO,VLR_DIARIA_BRL,QTD_MIN_NOITES,QTD_TOTAL_AVALIACOES,QTD_DIAS_DISPONIVEIS,SAMPLE_ORIGIN,categoria_vibe,tipo_vista,ponto_forte,principal_caracteristica
17878,68997,Copacabana,-22.96599,-43.1794,Entire home/apt,356.0,5,341,235,RELATED_TO_REVIEW,Moderno,Urbana,Varanda e WiFi,Conforto
48305,70933,Ipanema,-22.98591,-43.20302,Entire home/apt,2343.0,7,183,301,RELATED_TO_REVIEW,Luxo,Mar,Próximo à praia,Penthouse
51703,238091,Copacabana,-22.981731,-43.190571,Entire home/apt,250.0,1,325,282,RELATED_TO_REVIEW,Luxo,Mar,Vista para mar,Localização
86670,474221,Leblon,-22.9835398,-43.2160536,Entire home/apt,438.0,2,132,5,RELATED_TO_REVIEW,Luxo,Mar,Vista Maravilhosa Leblon,Reformado
89981,488707,Ipanema,-22.98088,-43.20042,Private room,215.0,3,167,210,RELATED_TO_REVIEW,Econômico,Sem Vista,Conforto e privacidade,Praticidade
109747,554897,Ipanema,-22.98697,-43.19751,Entire home/apt,1094.0,2,250,268,RELATED_TO_REVIEW,Luxo,Mar,Piscina na cobertura,Exclusividade
132832,652627,Copacabana,-22.98282,-43.18935,Private room,1351.0,2,5,26,RELATED_TO_REVIEW,Padrão,Mar,Vista Praia Copa,Quarto
137002,635510,Leblon,-22.98251,-43.22108,Entire home/apt,871.0,2,40,115,RELATED_TO_REVIEW,Luxo,Urbana,Sofisticação na localização,Elegância
174101,259815,Copacabana,-22.98015,-43.19098,Entire home/apt,554.0,3,242,106,RELATED_TO_REVIEW,Luxo,Urbana,Terraço Privativo Arejado,Penthouse
313223,792218,Ipanema,-22.98377,-43.20067,Entire home/apt,265.0,2,203,302,RELATED_TO_REVIEW,Luxo,Urbana,Localização privilegiada Ipanema,Conforto
342874,829630,Leme,-22.96392,-43.17263,Entire home/apt,204.0,2,239,141,RELATED_TO_REVIEW,Econômico,Mar,Conforto na praia,Conforto
347820,235496,Copacabana,-22.98287,-43.18972,Entire home/apt,947.0,2,400,282,RELATED_TO_REVIEW,Luxo,Mar,Frente à praia,Exclusividade
355197,524101,Centro,-22.90941,-43.1935,Entire home/apt,139.0,2,26,126,RELATED_TO_REVIEW,Econômico,Urbana,Conforto no Centro,Estúdio
368146,1858602,Ipanema,-22.98657,-43.19549,Entire home/apt,360.0,3,345,103,RELATED_TO_REVIEW,Padrão,Sem Vista,Localização em Ipanema,Apartamento
371950,1858602,Ipanema,-22.98485,-43.1972,Entire home/apt,452.0,3,484,96,RELATED_TO_REVIEW,Luxo,Urbana,Localização privilegiada bairro,Apartamento
