DT_DATA,NR_ANO,NR_MES,NM_MES,NR_DIA,NR_DIA_SEMANA,NM_DIA_SEMANA,FLG_FINAL_SEMANA,FLG_FERIADO
2010-01-11,2010,1,January,11,2,Monday,false,false
2010-01-24,2010,1,January,24,1,Sunday,true,false
2010-05-08,2010,5,May,8,7,Saturday,true,false
2010-07-14,2010,7,July,14,4,Wednesday,false,false
2010-09-11,2010,9,September,11,7,Saturday,true,false
2010-09-19,2010,9,September,19,1,Sunday,true,false
2010-10-31,2010,10,October,31,1,Sunday,true,false
2010-11-20,2010,11,November,20,7,Saturday,true,false
2011-03-16,2011,3,March,16,4,Wednesday,false,false
2011-06-17,2011,6,June,17,6,Friday,false,false
2011-08-25,2011,8,August,25,5,Thursday,false,false
2011-11-23,2011,11,November,23,4,Wednesday,false,false
2012-01-17,2012,1,January,17,3,Tuesday,false,false
2012-02-21,2012,2,February,21,3,Tuesday,false,false
2012-05-14,2012,5,May,14,2,Monday,false,false
2012-05-18,2012,5,May,18,6,Friday,false,false
2012-06-22,2012,6,June,22,6,Friday,false,false
2012-07-04,2012,7,July,4,4,Wednesday,false,false
2012-07-07,2012,7,July,7,7,Saturday,true,false
2013-01-31,2013,1,January,31,5,Thursday,false,false
2013-03-14,2013,3,March,14,5,Thursday,false,false
2013-04-19,2013,4,April,19,6,Friday,false,false
2013-04-29,2013,4,April,29,2,Monday,false,false
2013-10-01,2013,10,October,1,3,Tuesday,false,false
2013-10-19,2013,10,October,19,7,Saturday,true,false
2013-11-19,2013,11,November,19,3,Tuesday,false,false
2014-02-13,2014,2,February,13,5,Thursday,false,false
2014-03-01,2014,3,March,1,7,Saturday,true,false
2014-03-10,2014,3,March,10,2,Monday,false,false
2014-04-10,2014,4,April,10,5,Thursday,false,false
2014-06-28,2014,6,June,28,7,Saturday,true,false
2014-08-15,2014,8,August,15,6,Friday,false,false
2014-09-20,2014,9,September,20,7,Saturday,true,false
2014-10-04,2014,10,October,4,7,Saturday,true,false
2014-11-09,2014,11,November,9,1,Sunday,true,false
2015-05-03,2015,5,May,3,1,Sunday,true,false
2015-06-16,2015,6,June,16,3,Tuesday,false,false
2015-09-06,2015,9,September,6,1,Sunday,true,false
2016-02-04,2016,2,February,4,5,Thursday,false,false
2016-02-14,2016,2,February,14,1,Sunday,true,false
2016-03-28,2016,3,March,28,2,Monday,false,false
2016-04-05,2016,4,April,5,3,Tuesday,false,false
2016-04-15,2016,4,April,15,6,Friday,false,false
2016-07-14,2016,7,July,14,5,Thursday,false,false
2016-08-09,2016,8,August,9,3,Tuesday,false,false
2017-02-27,2017,2,February,27,2,Monday,false,false
2017-03-11,2017,3,March,11,7,Saturday,true,false
2017-05-12,2017,5,May,12,6,Friday,false,false
2017-06-23,2017,6,June,23,6,Friday,false,false
2017-07-31,2017,7,July,31,2,Monday,false,false
2017-10-22,2017,10,October,22,1,Sunday,true,false
2017-10-26,2017,10,October,26,5,Thursday,false,false
2018-03-12,2018,3,March,12,2,Monday,false,false
2018-05-02,2018,5,May,2,4,Wednesday,false,false
2018-07-24,2018,7,July,24,3,Tuesday,false,false
2018-08-21,2018,8,August,21,3,Tuesday,false,false
2018-09-16,2018,9,September,16,1,Sunday,true,false
2018-09-19,2018,9,September,19,4,Wednesday,false,false
2018-11-27,2018,11,November,27,3,Tuesday,false,false
2018-12-17,2018,12,December,17,2,Monday,false,false
2019-03-19,2019,3,March,19,3,Tuesday,false,false
2019-03-27,2019,3,March,27,4,Wednesday,false,false
2019-05-08,2019,5,May,8,4,Wednesday,false,false
2019-06-05,2019,6,June,5,4,Wednesday,false,false
2019-06-24,2019,6,June,24,2,Monday,false,false
2020-02-02,2020,2,February,2,1,Sunday,true,false
2020-02-09,2020,2,February,9,1,Sunday,true,false
2020-06-04,2020,6,June,4,5,Thursday,false,false
